step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
0,22,6.269e-07,1.530e-08,2.440e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,23,1.439e-06,1.530e-08,1.063e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,27,1.113e-05,1.530e-08,1.375e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,28,2.516e-05,1.530e-08,6.082e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,32,1.392e-06,1.530e-08,1.099e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,33,2.870e-06,1.530e-08,5.330e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,37,1.770e-05,1.530e-08,8.644e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,38,3.763e-05,1.530e-08,4.066e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,56,7.844e-07,1.530e-08,1.950e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,57,1.520e-06,1.530e-08,1.006e-02,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,61,1.596e-05,1.530e-08,9.586e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,62,3.016e-05,1.530e-08,5.073e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,66,7.496e-06,1.530e-08,2.041e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,67,1.938e-05,1.530e-08,7.894e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,71,5.996e-06,1.530e-08,2.552e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,72,1.280e-05,1.530e-08,1.195e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,90,2.152e-05,1.530e-08,7.110e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,91,4.262e-05,1.530e-08,3.590e-04,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,95,4.330e-06,1.530e-08,3.533e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
0,96,9.366e-06,1.530e-08,1.634e-03,0.000e+00,0.000e+00,0.0010,0.6225,0.1225
